Step,beta0.1,beta0.5,beta5,iid,aug_beta0.1,aug_beta0.5,aug_beta5,aug_iid
55,0.453000009059906,0.5116999745368960,0.5583000183105470,0.5612000226974490,0.6219000220298770,0.7056000232696530,0.7189000248909000,0.7142999768257140
56,0.45680001378059400,0.5141000151634220,0.5562999844551090,0.5620999932289120,0.6251000165939330,0.7084000110626220,0.7210999727249150,0.7171000242233280
57,0.4569000005722050,0.5152000188827520,0.5530999898910520,0.5601999759674070,0.6269999742507940,0.701200008392334,0.7232999801635740,0.7181000113487240
58,0.45910000801086400,0.512499988079071,0.5533999800682070,0.5584999918937680,0.6284999847412110,0.7081999778747560,0.7250999808311460,0.7143999934196470
59,0.4560000002384190,0.5133000016212460,0.5562000274658200,0.5620999932289120,0.6327000260353090,0.6998999714851380,0.7213000059127810,0.7135999798774720
60,0.4611999988555910,0.5080000162124630,0.5543000102043150,0.5570999979972840,0.637499988079071,0.704800009727478,0.7232999801635740,0.7196000218391420
61,0.45989999175071700,0.5098999738693240,0.5550000071525570,0.5587000250816350,0.6270999908447270,0.703000009059906,0.7233999967575070,0.7159000039100650
62,0.45899999141693100,0.510200023651123,0.557200014591217,0.5539000034332280,0.6340000033378600,0.7034000158309940,0.7188000082969670,0.7188000082969670
63,0.4551999866962430,0.508899986743927,0.5530999898910520,0.5550000071525570,0.625,0.7042999863624570,0.7200000286102300,0.7203999757766720
64,0.4546999931335450,0.5098999738693240,0.5530999898910520,0.5533999800682070,0.6349999904632570,0.703499972820282,0.7239999771118160,0.7181000113487240
65,0.45809999108314500,0.5101000070571900,0.5523999929428100,0.5551999807357790,0.6363999843597410,0.7098000049591060,0.724399983882904,0.7172999978065490
66,0.45879998803138700,0.5041999816894530,0.5533000230789190,0.5539000034332280,0.6330999732017520,0.7077999711036680,0.7251999974250790,0.7164999842643740
67,0.45509999990463300,0.5076000094413760,0.5511999726295470,0.5547999739646910,0.6365000009536740,0.7063000202178960,0.7249000072479250,0.7184000015258790
68,0.4523000121116640,0.5073999762535100,0.5523999929428100,0.5537999868392940,0.6362000107765200,0.7102000117301940,0.7226999998092650,0.7178999781608580
69,0.45350000262260400,0.5091000199317930,0.5533999800682070,0.5543000102043150,0.6331999897956850,0.7050999999046330,0.7272999882698060,0.7160999774932860
70,0.4546999931335450,0.5084999799728390,0.5461000204086300,0.5526000261306760,0.6349999904632570,0.7099999785423280,0.7250000238418580,0.7202000021934510
71,0.46129998564720200,0.5117999911308290,0.5440999865531920,0.5537999868392940,0.6315000057220460,0.7073000073432920,0.7261000275611880,0.7184000015258790
72,0.4607999920845030,0.5059000253677370,0.5526000261306760,0.5573999881744390,0.6309999823570250,0.7074000239372250,0.7242000102996830,0.7188000082969670
73,0.4611000120639800,0.5083000063896180,0.5519999861717220,0.5548999905586240,0.6322000026702880,0.7129999995231630,0.7246000170707700,0.717199981212616
74,0.45660001039505000,0.503600001335144,0.5533999800682070,0.5554999709129330,0.6384000182151790,0.7102000117301940,0.7232000231742860,0.72079998254776
75,0.4603999853134160,0.5073000192642210,0.5525000095367430,0.554099977016449,0.6396999955177310,0.7138000130653380,0.7253000140190130,0.7192000150680540
